"Month","Trtmt","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","Total","padj","Minerals"
"61",2,"Ferrihydrite","59_20688",0.639545215783448,-3.59229388434778,2.05761808991874,0.0808369066915316,"Bacteria","Bacteroidetes","VC2_1_Bac22",NA,NA,NA,NA,18848.5892299592,0.178373496372941,"Minerals"
"62",2,"Ferrihydrite","89_15203",31.8978267180085,5.57549586732442,2.17042552311661,NA,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA,18848.5892299592,NA,"Minerals"
"63",2,"Ferrihydrite","41_7779",0.659751821493885,4.55485556996589,2.20083343776236,0.0384893629615649,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,18848.5892299592,0.113042288698042,"Minerals"
"64",2,"Ferrihydrite","89_10185",31.3382115209595,7.21363252540735,2.35026618206935,NA,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,18848.5892299592,NA,"Minerals"
"65",2,"Ferrihydrite","44_7533",1.63062655580033,5.87547120599596,1.90630170745642,0.00205524506322103,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,18848.5892299592,0.01465934999175,"Minerals"
"66",2,"Ferrihydrite","67.2_46335",0.604331819395178,4.85125521050274,1.96890130448688,0.0137419009779899,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,18848.5892299592,0.0610368293338903,"Minerals"
"67",2,"Ferrihydrite","7_11919",0.655371914061193,4.60194015562836,2.062734813786,0.0256818102581798,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,18848.5892299592,0.0876020372621266,"Minerals"
"68",2,"Ferrihydrite","61_1097",69.5459675218112,5.43188262733504,0.967451924530088,1.96985609253726e-08,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,7.06117645478742e-07,"Minerals"
"69",2,"Ferrihydrite","49_2408",24.9413121836505,4.7197599407293,1.00322268540498,2.54366037362425e-06,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,4.83867030032788e-05,"Minerals"
"70",2,"Ferrihydrite","7_1381",14.0929538800376,3.4716107296807,0.806779495603776,1.68464490421609e-05,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,18848.5892299592,0.000255992780010227,"Minerals"
"71",2,"Ferrihydrite","59_10123",14.233525037602,8.77854293881828,1.75421301025626,5.60762083405326e-07,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,18848.5892299592,1.35162998724249e-05,"Minerals"
"72",2,"Ferrihydrite","73.2_626833",0.9747819728813,3.87409413819529,1.71982885511687,0.0242841000756811,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,18848.5892299592,0.0850856438741911,"Minerals"
