OTUId	2_12	2_9	2_6	2_3	Ferrihydrite	1_12	Heavy	1_9	Kaolinite	1_6	Quartz	1_3
OTU_63016;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	1	0
OTU_35658;barcodelabel=2_12	3	0	0	0	0	0	0	0	1	0	0	0
OTU_217246;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
61_124287;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
26_127;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_35044;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_405666;barcodelabel=2_6	0	0	3	0	0	0	0	0	0	0	1	0
OTU_155994;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_15559;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
67_7750;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
69.2_10371;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
50_9274;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
7_147561;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
21_122181;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
3_4113;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
71_7344;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
3_102144;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
10_77834;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
3_129868;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
52_270336;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
70_13351;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
1_4949;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
OTU_8165;barcodelabel=2_9	0	2	0	0	0	0	0	0	0	0	0	0
37_22491;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
1_55756;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
3_25567;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
76_5295;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
69_7226;barcodelabel=Ferrihydrite	1	0	0	0	2	0	0	0	0	0	0	0
67.2_18810;barcodelabel=Ferrihydrite	0	0	0	0	2	1	0	0	0	0	0	0
89_15230;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	1	0	0
OTU_77146;barcodelabel=1_12	0	0	0	0	0	2	0	0	0	0	0	0
21_14602;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
71_268655;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
58_48737;barcodelabel=Ferrihydrite	0	0	0	0	2	2	0	0	0	0	0	0
OTU_88548;barcodelabel=2_9	0	2	0	0	0	0	0	0	0	0	0	0
39_28098;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
67.2_46335;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
71.2_39510;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
73_27762;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
59_75785;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
65_726035;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
71_27539;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
75_27203;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
10_482523;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
77.2_497030;barcodelabel=Heavy	0	2	0	0	0	0	2	0	0	0	0	0
93_701;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
70_49;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
76_3208;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
65_6240;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
61_1176;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
69_12283;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
71.2_14376;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
24_4012;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
49_13776;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
72.2_6370;barcodelabel=Ferrihydrite	0	2	0	0	2	0	0	0	0	0	0	0
7_8368;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
73.2_356804;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
23_1680;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
62_9944;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
73_11298;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
72_3573;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
1_2319;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
50_3812;barcodelabel=Ferrihydrite	2	0	0	0	2	0	0	0	0	0	0	0
75_29090;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
64_598;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
15_985;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	1	0	0	0	0
3_588268;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
74_103251;barcodelabel=Heavy	0	0	0	0	0	0	2	0	0	0	0	0
69_148947;barcodelabel=Ferrihydrite	0	0	0	0	2	0	0	0	0	0	0	0
73.2_99932;barcodelabel=Ferrihydrite	3	0	0	0	2	0	0	0	0	0	0	0
71_25781;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
66_41379;barcodelabel=Kaolinite	0	0	0	0	0	0	0	0	2	0	0	0
