OTUId	2_12	2_9	2_3	2_6	1_12	Ferrihydrite	Heavy	Kaolinite	1_6	1_9	Quartz	1_3
68.2_601200	0	0	0	0	0	0	0	1	0	0	0	0
42_183175	0	0	0	0	0	0	0	1	0	0	0	0
62_209986	0	0	0	0	0	1	0	0	0	0	0	0
73_641354	0	0	0	0	0	0	0	1	0	0	0	0
3_138028	0	0	0	0	0	0	0	1	0	0	0	0
75_217005	0	0	0	0	0	0	0	1	0	0	0	0
21_115884	0	0	0	0	0	0	1	0	0	0	0	0
75.2_490359	0	0	0	0	0	0	0	1	0	0	0	0
75_50629	0	0	0	0	0	0	0	1	0	0	0	0
75_73806	0	0	0	0	0	0	0	1	0	0	0	0
69.2_478	0	0	0	0	0	1	0	0	0	0	0	0
75.2_284457	0	0	0	0	0	0	0	1	0	0	0	0
75_293144	0	0	0	0	0	0	0	1	0	0	0	0
50_306300	0	0	0	0	0	0	0	0	0	0	1	0
73_431863	0	0	0	0	0	0	0	1	0	0	0	0
76.2_20980	0	0	0	0	0	0	0	1	0	0	0	0
77_626132	0	0	0	0	0	0	0	1	0	0	0	0
73_442648	0	0	0	0	0	0	0	1	0	0	0	0
71_252486	0	0	0	0	0	0	0	1	0	0	0	0
68_97975	0	0	0	0	0	0	0	1	0	0	0	0
75.2_361801	0	0	0	0	0	0	0	1	0	0	0	0
75.2_323610	0	0	0	0	0	0	0	1	0	0	0	0
77_446759	0	0	0	0	0	0	0	1	0	0	0	0
68.2_725048	0	0	0	0	0	0	0	1	0	0	0	0
71_733638	0	0	0	0	0	0	0	1	0	0	0	0
75.2_320771	0	0	0	0	0	0	0	1	0	0	0	0
75.2_997701	0	0	0	0	0	0	0	1	0	0	0	0
72.2_33776	0	0	0	0	0	0	0	1	0	0	0	0
75_395452	0	0	0	0	0	0	0	1	0	0	0	0
37_345604	0	0	0	0	0	0	0	1	0	0	0	0
72_404910	0	0	0	0	0	0	0	1	0	0	0	0
72.2_556235	0	0	0	0	0	0	0	1	0	0	0	0
75.2_166870	0	0	0	0	0	0	0	1	0	0	0	0
76.2_118284	0	0	0	0	0	0	0	1	0	0	0	0
30_98027	0	0	0	0	0	0	0	1	0	0	0	0
42_216492	0	0	0	0	0	0	0	1	0	0	0	0
75.2_773350	0	0	0	0	0	0	0	1	0	0	0	0
68.2_1093510	0	0	0	0	0	0	0	1	0	0	0	0
75.2_9488	0	0	0	0	0	0	0	1	0	0	0	0
71_32311	0	0	0	0	0	0	0	1	0	0	0	0
71.2_416316	0	0	0	0	0	0	0	1	0	0	0	0
22_79898	0	0	0	0	1	0	0	0	0	0	0	0
75_15580	0	0	0	0	0	0	0	1	0	0	0	0
71_242557	0	0	0	0	0	0	0	1	0	0	0	0
75_278736	0	0	0	0	0	0	0	1	0	0	0	0
68.2_255496	0	0	0	0	0	0	0	1	0	0	0	0
77_1126246	0	0	0	0	0	0	0	1	0	0	0	0
39_188943	0	0	0	0	0	0	0	1	0	0	0	0
19_191776	0	0	0	0	0	0	0	1	0	0	0	0
75_443257	0	0	0	0	0	0	0	1	0	0	0	0
71_633444	0	0	0	0	0	0	0	1	0	0	0	0
37_164229	0	0	0	0	0	0	0	1	0	0	0	0
1_39552	0	0	0	0	0	0	0	1	0	0	0	0
73.2_84173	0	0	0	0	0	0	0	1	0	0	0	0
89_218136	0	0	0	0	0	0	0	1	0	0	0	0
71.2_622637	0	0	0	0	0	0	0	1	0	0	0	0
75_51177	0	0	0	0	0	0	0	1	0	0	0	0
71.2_98428	0	0	0	0	0	0	0	1	0	0	0	0
71_139353	0	0	0	0	0	0	0	1	0	0	0	0
64_132061	0	0	0	0	0	1	0	0	0	0	0	0
75.2_269524	0	0	0	0	0	0	0	1	0	0	0	0
75_159453	0	0	0	0	0	0	0	1	0	0	0	0
68.2_454702	0	0	0	0	0	0	0	1	0	0	0	0
75_860490	0	0	0	0	0	0	0	1	0	0	0	0
73.2_618032	0	0	0	0	0	0	0	1	0	0	0	0
68.2_273319	0	0	0	0	0	0	0	1	0	0	0	0
71_191451	0	0	0	0	0	0	0	1	0	0	0	0
68.2_168883	0	0	0	0	0	0	0	1	0	0	0	0
62_355856	0	0	0	0	0	0	1	0	0	0	0	0
75.2_437714	0	0	0	0	0	0	0	1	0	0	0	0
65_118407	0	0	0	0	0	1	0	0	0	0	0	0
75.2_930820	0	0	0	0	0	0	0	1	0	0	0	0
75_978257	0	0	0	0	0	0	0	1	0	0	0	0
37_698332	0	0	0	0	0	0	0	1	0	0	0	0
75.2_671539	0	0	0	0	0	0	0	1	0	0	0	0
39_1015840	0	0	0	0	0	0	0	1	0	0	0	0
75.2_765700	0	0	0	0	0	0	0	1	0	0	0	0
68.2_928910	0	0	0	0	0	0	0	1	0	0	0	0
71_756069	0	0	0	0	0	0	0	1	0	0	0	0
21_779942	0	0	0	0	0	0	1	0	0	0	0	0
68_151870	0	0	0	0	0	0	0	1	0	0	0	0
71_1110045	0	0	0	0	0	0	0	1	0	0	0	0
39_75465	0	0	0	0	0	1	0	0	0	0	0	0
71_1331543	0	0	0	0	0	0	0	1	0	0	0	0
72_140348	0	0	0	0	0	0	0	1	0	0	0	0
72.2_106606	0	0	0	0	0	0	0	1	0	0	0	0
68_1019062	0	0	0	0	0	0	0	1	0	0	0	0
44_104064	0	0	0	0	0	1	0	0	0	0	0	0
71_1029692	0	0	0	0	0	0	0	1	0	0	0	0
96_68863	0	0	0	0	0	0	1	0	0	0	0	0
3_436907	0	0	0	0	0	0	0	1	0	0	0	0
73_43189	0	0	0	0	0	0	0	1	0	0	0	0
76.2_390190	0	0	0	0	0	1	0	0	0	0	0	0
3_121314	0	0	0	0	0	0	0	1	0	0	0	0
68.2_1433051	0	0	0	0	0	0	0	1	0	0	0	0
75_1332948	0	0	0	0	0	0	0	1	0	0	0	0
74_515959	0	0	0	0	0	0	0	1	0	0	0	0
75.2_1505064	0	0	0	0	0	0	0	1	0	0	0	0
9_532557	0	0	0	0	0	0	0	0	0	0	1	0
75_353816	0	0	0	0	0	0	0	1	0	0	0	0
10_658514	0	0	0	0	0	0	0	1	0	0	0	0
68.2_370111	0	0	0	0	0	0	0	1	0	0	0	0
75.2_244733	0	0	0	0	0	0	0	1	0	0	0	0
67_24009	0	0	0	0	0	0	0	0	0	0	1	0
4_722295	0	0	0	0	0	1	0	0	0	0	0	0
83_279031	0	0	0	0	0	0	0	1	0	0	0	0
